Time (s) Run #5,Position (m) Run #5,Velocity (m/s) Run #5,Acceleration (m/sÂ²) Run #5
0.0,1.48,,
0.02,1.47,-0.36,
0.04,1.47,-0.2,7.2
0.06,1.46,-0.08,4.72
0.08,1.46,-0.01,2.77
0.1,1.46,0.01,1.58
0.12,1.46,0.04,1.37
0.14,1.46,0.06,1.8
0.16,1.47,0.11,1.99
0.18,1.47,0.16,1.29
0.2,1.47,0.17,-0.05
0.22,1.48,0.15,-1.21
0.24,1.48,0.12,-1.45
0.26,1.48,0.07,-1.0
0.28,1.49,0.07,-0.88
0.3,1.48,0.07,-3.19
0.32,1.49,0.01,-7.81
0.34,1.49,-0.25,-8.8
0.36,1.48,-0.54,-2.16
0.38,1.46,-0.43,6.36
0.4,1.45,-0.07,7.57
0.42,1.46,0.04,1.3
0.44,1.47,-0.1,-4.28
0.46,1.45,-0.24,-5.11
0.48,1.45,-0.3,-4.53
0.5,1.45,-0.37,-3.75
0.52,1.43,-0.51,-2.61
0.54,1.43,-0.48,-1.91
0.56,1.41,-0.51,-2.1
0.58,1.41,-0.6,-2.48
0.6,1.39,-0.64,-1.23
0.62,1.38,-0.65,0.37
0.64,1.37,-0.61,1.24
0.66,1.35,-0.58,1.41
0.68,1.34,-0.55,1.16
0.7,1.33,-0.54,0.8
0.72,1.32,-0.52,0.25
0.74,1.31,-0.52,-1.05
0.76,1.3,-0.54,-2.81
0.78,1.29,-0.64,-3.52
0.8,1.28,-0.73,-2.72
0.82,1.26,-0.75,-1.27
0.84,1.24,-0.76,-0.53
0.86,1.23,-0.77,-0.64
0.88,1.21,-0.78,-1.03
0.9,1.2,-0.81,-1.25
0.92,1.18,-0.84,-0.72
0.94,1.16,-0.85,0.37
0.96,1.15,-0.82,1.04
0.98,1.13,-0.79,0.64
1.0,1.12,-0.79,-0.9
1.02,1.1,-0.81,-2.54
1.04,1.08,-0.9,-3.03
1.06,1.07,-0.98,-1.62
1.08,1.04,-0.99,0.75
1.1,1.02,-0.92,1.89
1.12,1.01,-0.87,1.19
1.14,0.99,-0.87,-0.12
1.16,0.97,-0.9,-0.67
1.18,0.96,-0.91,-0.44
1.2,0.94,-0.91,-0.17
1.22,0.92,-0.91,-0.18
1.24,0.9,-0.91,0.000448
1.26,0.88,-0.92,0.48
1.28,0.86,-0.9,1.02
1.3,0.84,-0.87,1.24
1.32,0.83,-0.84,0.57
1.34,0.81,-0.83,-0.8
1.36,0.8,-0.87,-2.2
1.38,0.78,-0.94,-2.36
1.4,0.76,-0.99,-0.84
1.42,0.74,-0.99,1.11
1.44,0.72,-0.93,2.33
1.46,0.7,-0.88,1.94
1.48,0.68,-0.83,0.29
1.5,0.67,-0.85,-1.34
1.52,0.65,-0.91,-1.02
1.54,0.63,-0.95,2.22
1.56,0.61,-0.85,2.82
1.58,0.59,-0.65,-3.12
1.6,0.58,-0.88,-11.01
1.62,0.58,-1.3,-11.01
1.64,0.52,-1.52,-1.31
1.66,0.5,-1.32,6.7
1.68,0.48,-1.01,7.28
1.7,0.46,-1.01,5.68
1.72,0.44,-0.96,8.14
1.74,0.42,-0.69,11.38
1.76,0.4,-0.35,7.48
1.78,0.41,-0.25,-2.62
1.8,0.4,-0.5,-10.39
1.82,0.39,-0.85,-10.57
1.84,0.37,-1.0,-5.61
1.86,0.35,-1.02,-3.92
1.88,0.33,-1.0,78.54
1.9,0.31,-1.32,249.85
