Time (s) Run #6,Position (m) Run #6,Velocity (m/s) Run #6,Acceleration (m/sÂ²) Run #6
0.0,1.37,,
0.02,1.37,0.38,
0.04,1.38,0.62,3.94
0.06,1.41,0.54,-5.67
0.08,1.41,0.26,-8.72
0.1,1.41,0.06,-5.06
0.12,1.41,0.05,0.41
0.14,1.41,0.14,1.3
0.16,1.41,0.23,-3.86
0.18,1.42,0.04,-9.57
0.2,1.43,-0.31,-6.19
0.22,1.4,-0.47,5.97
0.24,1.4,-0.01,13.07
0.26,1.4,0.45,6.68
0.28,1.43,0.34,-5.98
0.3,1.42,-0.02,-9.94
0.32,1.41,-0.26,-4.72
0.34,1.41,-0.14,-1.14
0.36,1.41,-0.1,-3.08
0.38,1.41,-0.31,-4.52
0.4,1.41,-0.46,-0.39
0.42,1.38,-0.32,4.67
0.44,1.38,-0.13,3.67
0.46,1.39,-0.08,0.32
0.48,1.38,-0.26,1.32
0.5,1.38,-0.16,4.37
0.52,1.37,0.1,3.27
0.54,1.38,0.08,-3.64
0.56,1.38,-0.11,-9.11
0.58,1.37,-0.38,-9.42
0.6,1.37,-0.53,-6.81
0.62,1.35,-0.63,-3.53
0.64,1.34,-0.68,-1.6
0.66,1.32,-0.66,-1.15
0.68,1.32,-0.69,-1.45
0.7,1.3,-0.75,-0.87
0.72,1.28,-0.75,0.63
0.74,1.27,-0.7,1.65
0.76,1.25,-0.67,1.23
0.78,1.24,-0.64,-0.2
0.8,1.23,-0.67,-1.53
0.82,1.22,-0.73,-1.97
0.84,1.2,-0.77,-1.72
0.86,1.18,-0.78,-1.86
0.88,1.17,-0.82,-2.31
0.9,1.15,-0.89,-1.95
0.92,1.13,-0.93,-0.27
0.94,1.11,-0.91,1.37
0.96,1.1,-0.84,1.67
0.98,1.08,-0.81,0.61
1.0,1.07,-0.82,-0.87
1.02,1.05,-0.86,-1.54
1.04,1.03,-0.9,-1.7
1.06,1.01,-0.91,-1.86
1.08,0.99,-0.97,-1.94
1.1,0.97,-1.02,-0.82
1.12,0.95,-1.03,1.3
1.14,0.93,-0.95,2.09
1.16,0.91,-0.88,0.72
1.18,0.9,-0.92,-1.21
1.2,0.88,-0.98,-1.38
1.22,0.86,-1.0,-0.42
1.24,0.84,-0.97,0.09
1.26,0.82,-0.98,-0.13
1.28,0.8,-0.99,-0.37
1.3,0.78,-0.99,-0.17
1.32,0.76,-0.99,0.06
1.34,0.74,-0.99,0.11
1.36,0.72,-0.98,-0.25
1.38,0.7,-0.99,-0.68
1.4,0.68,-1.02,-0.59
1.42,0.66,-1.03,0.12
1.44,0.64,-1.01,0.53
1.46,0.62,-0.99,-0.15
1.48,0.6,-1.01,-1.24
1.5,0.58,-1.06,-1.65
1.52,0.56,-1.09,-0.94
1.54,0.53,-1.1,0.13
1.56,0.51,-1.08,0.81
1.58,0.49,-1.06,0.87
1.6,0.47,-1.04,0.72
1.62,0.45,-1.04,0.79
1.64,0.43,-1.01,0.82
1.66,0.41,-0.99,0.35
1.68,0.39,-0.99,-0.54
1.7,0.37,-1.02,-1.0
1.72,0.35,-1.05,-0.76
1.74,0.33,-1.05,-0.46
1.76,0.31,-1.05,-0.57
1.78,0.29,-1.07,-0.77
1.8,0.27,-1.09,-0.3
1.82,0.24,-1.1,0.69
1.84,0.22,-1.06,1.14
1.86,0.2,-1.02,1.26
1.88,0.18,-1.03,1.78
1.9,0.16,-0.97,89.77
1.92,0.14,-0.89,265.08
