survived,pclass,sex,age,sibsp,fare,class,who,adult_male,deck,embark_town,alive,alone
0,1,male,,0,27.7208,First,man,TRUE,,Cherbourg,no,TRUE
0,3,male,23.5,0,7.2292,Third,man,TRUE,,Cherbourg,no,TRUE
0,1,female,2,1,151.55,First,child,FALSE,C,Southampton,no,FALSE
1,1,male,,0,30.5,First,man,TRUE,C,Southampton,yes,TRUE
1,1,female,50,0,247.5208,First,woman,FALSE,B,Cherbourg,yes,FALSE
1,3,female,,0,7.75,Third,woman,FALSE,,Queenstown,yes,TRUE
1,3,male,,2,23.25,Third,man,TRUE,,Queenstown,yes,FALSE
0,3,male,19,0,0,Third,man,TRUE,,Southampton,no,TRUE
1,2,female,,0,12.35,Second,woman,FALSE,E,Queenstown,yes,TRUE
0,3,male,,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
1,1,male,0.92,1,151.55,First,child,FALSE,C,Southampton,yes,FALSE
1,1,female,,0,110.8833,First,woman,FALSE,,Cherbourg,yes,TRUE
1,1,female,17,1,108.9,First,woman,FALSE,C,Cherbourg,yes,FALSE
0,2,male,30,1,24,Second,man,TRUE,,Cherbourg,no,FALSE
1,1,female,30,0,56.9292,First,woman,FALSE,E,Cherbourg,yes,TRUE
1,1,female,24,0,83.1583,First,woman,FALSE,C,Cherbourg,yes,TRUE
1,1,female,18,2,262.375,First,woman,FALSE,B,Cherbourg,yes,FALSE
0,2,female,26,1,26,Second,woman,FALSE,,Southampton,no,FALSE
0,3,male,28,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
0,2,male,43,1,26.25,Second,man,TRUE,,Southampton,no,FALSE
1,3,female,26,0,7.8542,Third,woman,FALSE,,Southampton,yes,TRUE
1,2,female,24,1,26,Second,woman,FALSE,,Southampton,yes,FALSE
0,2,male,54,0,14,Second,man,TRUE,,Southampton,no,TRUE
1,1,female,31,0,164.8667,First,woman,FALSE,C,Southampton,yes,FALSE
1,1,female,40,1,134.5,First,woman,FALSE,E,Cherbourg,yes,FALSE
0,3,male,22,0,7.25,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,27,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
1,2,female,30,0,12.35,Second,woman,FALSE,,Queenstown,yes,TRUE
1,2,female,22,1,29,Second,woman,FALSE,,Southampton,yes,FALSE
0,3,male,,8,69.55,Third,man,TRUE,,Southampton,no,FALSE
1,1,female,36,0,135.6333,First,woman,FALSE,C,Cherbourg,yes,TRUE
0,3,male,61,0,6.2375,Third,man,TRUE,,Southampton,no,TRUE
1,2,female,36,0,13,Second,woman,FALSE,D,Southampton,yes,TRUE
1,3,female,31,1,20.525,Third,woman,FALSE,,Southampton,yes,FALSE
1,1,female,16,0,57.9792,First,woman,FALSE,B,Cherbourg,yes,FALSE
1,3,female,,2,23.25,Third,woman,FALSE,,Queenstown,yes,FALSE
0,1,male,45.5,0,28.5,First,man,TRUE,C,Southampton,no,TRUE
0,1,male,38,0,153.4625,First,man,TRUE,C,Southampton,no,FALSE
0,3,male,16,2,18,Third,man,TRUE,,Southampton,no,FALSE
1,1,female,,1,133.65,First,woman,FALSE,,Southampton,yes,FALSE
0,3,male,,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
0,1,male,29,1,66.6,First,man,TRUE,C,Southampton,no,FALSE
1,1,female,41,0,134.5,First,woman,FALSE,E,Cherbourg,yes,TRUE
1,3,male,45,0,8.05,Third,man,TRUE,,Southampton,yes,TRUE
0,1,male,45,0,35.5,First,man,TRUE,,Southampton,no,TRUE
1,2,male,2,1,26,Second,child,FALSE,F,Southampton,yes,FALSE
1,1,female,24,3,263,First,woman,FALSE,C,Southampton,yes,FALSE
0,2,male,28,0,13,Second,man,TRUE,,Southampton,no,TRUE
0,2,male,25,0,13,Second,man,TRUE,,Southampton,no,TRUE
0,2,male,36,0,13,Second,man,TRUE,,Southampton,no,TRUE
1,2,female,24,0,13,Second,woman,FALSE,F,Southampton,yes,TRUE
1,2,female,40,0,13,Second,woman,FALSE,,Southampton,yes,TRUE
1,3,female,,1,16.1,Third,woman,FALSE,,Southampton,yes,FALSE
1,3,male,3,1,15.9,Third,child,FALSE,,Southampton,yes,FALSE
0,3,male,42,0,8.6625,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,23,0,9.225,Third,man,TRUE,,Southampton,no,TRUE
0,1,male,,0,35,First,man,TRUE,C,Southampton,no,TRUE
0,3,male,15,1,7.2292,Third,child,FALSE,,Cherbourg,no,FALSE
0,3,male,25,1,17.8,Third,man,TRUE,,Southampton,no,FALSE
0,3,male,,0,7.225,Third,man,TRUE,,Cherbourg,no,TRUE
0,3,male,28,0,9.5,Third,man,TRUE,,Southampton,no,TRUE
1,1,female,22,0,55,First,woman,FALSE,E,Southampton,yes,FALSE
0,2,female,38,0,13,Second,woman,FALSE,,Southampton,no,TRUE
1,3,female,,0,7.8792,Third,woman,FALSE,,Queenstown,yes,TRUE
1,3,female,,0,7.8792,Third,woman,FALSE,,Queenstown,yes,TRUE
0,3,male,40,1,27.9,Third,man,TRUE,,Southampton,no,FALSE
0,2,male,29,1,27.7208,Second,man,TRUE,,Cherbourg,no,FALSE
0,3,female,45,0,14.4542,Third,woman,FALSE,,Cherbourg,no,FALSE
0,3,male,35,0,7.05,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,,1,15.5,Third,man,TRUE,,Queenstown,no,FALSE
0,3,male,30,0,7.25,Third,man,TRUE,,Southampton,no,TRUE
1,1,female,60,1,75.25,First,woman,FALSE,D,Cherbourg,yes,FALSE
1,3,female,,0,7.2292,Third,woman,FALSE,,Cherbourg,yes,TRUE
1,3,female,,0,7.75,Third,woman,FALSE,,Queenstown,yes,TRUE
1,1,female,24,0,69.3,First,woman,FALSE,B,Cherbourg,yes,TRUE
1,1,male,25,1,55.4417,First,man,TRUE,E,Cherbourg,yes,FALSE
0,3,male,18,1,6.4958,Third,man,TRUE,,Southampton,no,FALSE
0,3,male,19,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
0,1,male,22,0,135.6333,First,man,TRUE,,Cherbourg,no,TRUE
0,3,female,3,3,21.075,Third,child,FALSE,,Southampton,no,FALSE
1,1,female,,1,82.1708,First,woman,FALSE,,Cherbourg,yes,FALSE
1,3,female,22,0,7.25,Third,woman,FALSE,,Southampton,yes,TRUE
0,1,male,27,0,211.5,First,man,TRUE,C,Cherbourg,no,FALSE
0,3,male,20,0,4.0125,Third,man,TRUE,,Cherbourg,no,TRUE
0,3,male,19,0,7.775,Third,man,TRUE,,Southampton,no,TRUE
1,1,female,42,0,227.525,First,woman,FALSE,,Cherbourg,yes,TRUE
1,3,female,1,0,15.7417,Third,child,FALSE,,Cherbourg,yes,FALSE
0,3,male,32,0,7.925,Third,man,TRUE,,Southampton,no,TRUE
1,1,female,35,1,52,First,woman,FALSE,,Southampton,yes,FALSE
0,3,male,,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
0,2,male,18,0,73.5,Second,man,TRUE,,Southampton,no,TRUE
0,3,male,1,5,46.9,Third,child,FALSE,,Southampton,no,FALSE
1,2,female,36,0,13,Second,woman,FALSE,,Southampton,yes,TRUE
0,3,male,,0,7.7292,Third,man,TRUE,,Queenstown,no,TRUE
1,2,female,17,0,12,Second,woman,FALSE,,Cherbourg,yes,TRUE
1,1,male,36,1,120,First,man,TRUE,B,Southampton,yes,FALSE
1,3,male,21,0,7.7958,Third,man,TRUE,,Southampton,yes,TRUE
0,3,male,28,2,7.925,Third,man,TRUE,,Southampton,no,FALSE
1,1,female,23,1,113.275,First,woman,FALSE,D,Cherbourg,yes,FALSE
1,3,female,24,0,16.7,Third,woman,FALSE,G,Southampton,yes,FALSE
0,3,male,22,0,7.7958,Third,man,TRUE,,Southampton,no,TRUE
0,3,female,31,0,7.8542,Third,woman,FALSE,,Southampton,no,TRUE
0,2,male,46,0,26,Second,man,TRUE,,Southampton,no,TRUE
0,2,male,23,0,10.5,Second,man,TRUE,,Southampton,no,TRUE
1,2,female,28,0,12.65,Second,woman,FALSE,,Southampton,yes,TRUE
1,3,male,39,0,7.925,Third,man,TRUE,,Southampton,yes,TRUE
0,3,male,26,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
0,3,female,21,1,9.825,Third,woman,FALSE,,Southampton,no,FALSE
0,3,male,28,1,15.85,Third,man,TRUE,,Southampton,no,FALSE
0,3,female,20,0,8.6625,Third,woman,FALSE,,Southampton,no,TRUE
0,2,male,34,1,21,Second,man,TRUE,,Southampton,no,FALSE
0,3,male,51,0,7.75,Third,man,TRUE,,Southampton,no,TRUE
1,2,male,3,1,18.75,Second,child,FALSE,,Southampton,yes,FALSE
0,3,male,21,0,7.775,Third,man,TRUE,,Southampton,no,TRUE
0,3,female,,3,25.4667,Third,woman,FALSE,,Southampton,no,FALSE
0,3,male,,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,,0,6.8583,Third,man,TRUE,,Queenstown,no,TRUE
1,1,female,33,1,90,First,woman,FALSE,C,Queenstown,yes,FALSE
0,2,male,,0,0,Second,man,TRUE,,Southampton,no,TRUE
1,3,male,44,0,7.925,Third,man,TRUE,,Southampton,yes,TRUE
0,3,female,,0,8.05,Third,woman,FALSE,,Southampton,no,TRUE
1,2,female,34,1,32.5,Second,woman,FALSE,,Southampton,yes,FALSE
1,2,female,18,0,13,Second,woman,FALSE,,Southampton,yes,FALSE
0,2,male,30,0,13,Second,man,TRUE,,Southampton,no,TRUE
0,3,female,10,0,24.15,Third,child,FALSE,,Southampton,no,FALSE
0,3,male,,0,7.8958,Third,man,TRUE,,Cherbourg,no,TRUE
0,3,male,21,0,7.7333,Third,man,TRUE,,Queenstown,no,TRUE
0,3,male,29,0,7.875,Third,man,TRUE,,Southampton,no,TRUE
0,3,female,28,1,14.4,Third,woman,FALSE,,Southampton,no,FALSE
0,3,male,18,1,20.2125,Third,man,TRUE,,Southampton,no,FALSE
0,3,male,,0,7.25,Third,man,TRUE,,Southampton,no,TRUE
1,2,female,28,1,26,Second,woman,FALSE,,Southampton,yes,FALSE
1,2,female,19,0,26,Second,woman,FALSE,,Southampton,yes,TRUE
0,3,male,,0,7.75,Third,man,TRUE,,Queenstown,no,TRUE
1,3,male,32,0,8.05,Third,man,TRUE,E,Southampton,yes,TRUE
1,1,male,28,0,26.55,First,man,TRUE,C,Southampton,yes,TRUE
1,3,female,,1,16.1,Third,woman,FALSE,,Southampton,yes,FALSE
1,2,female,42,1,26,Second,woman,FALSE,,Southampton,yes,FALSE
0,3,male,17,0,7.125,Third,man,TRUE,,Southampton,no,TRUE
0,1,male,50,1,55.9,First,man,TRUE,E,Southampton,no,FALSE
1,1,female,14,1,120,First,child,FALSE,B,Southampton,yes,FALSE
0,3,female,21,2,34.375,Third,woman,FALSE,,Southampton,no,FALSE
1,2,female,24,2,18.75,Second,woman,FALSE,,Southampton,yes,FALSE
0,1,male,64,1,263,First,man,TRUE,C,Southampton,no,FALSE
0,2,male,31,0,10.5,Second,man,TRUE,,Southampton,no,TRUE
1,2,female,45,1,26.25,Second,woman,FALSE,,Southampton,yes,FALSE
0,3,male,20,0,9.5,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,25,1,7.775,Third,man,TRUE,,Southampton,no,FALSE
1,2,female,28,0,13,Second,woman,FALSE,,Southampton,yes,TRUE
1,3,male,,0,8.1125,Third,man,TRUE,,Southampton,yes,TRUE
1,1,male,4,0,81.8583,First,child,FALSE,A,Southampton,yes,FALSE
1,2,female,13,0,19.5,Second,child,FALSE,,Southampton,yes,FALSE
1,1,male,34,0,26.55,First,man,TRUE,,Southampton,yes,TRUE
1,3,female,5,2,19.2583,Third,child,FALSE,,Cherbourg,yes,FALSE
1,1,male,52,0,30.5,First,man,TRUE,C,Southampton,yes,TRUE
0,2,male,36,1,27.75,Second,man,TRUE,,Southampton,no,FALSE
0,3,male,,1,19.9667,Third,man,TRUE,,Southampton,no,FALSE
0,1,male,30,0,27.75,First,man,TRUE,C,Cherbourg,no,TRUE
1,1,male,49,1,89.1042,First,man,TRUE,C,Cherbourg,yes,FALSE
0,3,male,,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
1,3,male,29,0,7.8958,Third,man,TRUE,,Cherbourg,yes,TRUE
0,1,male,65,0,26.55,First,man,TRUE,E,Southampton,no,TRUE
1,1,female,,1,51.8625,First,woman,FALSE,D,Southampton,yes,FALSE
1,2,female,50,0,10.5,Second,woman,FALSE,,Southampton,yes,TRUE
0,3,male,,0,7.75,Third,man,TRUE,,Queenstown,no,TRUE
1,1,male,48,0,26.55,First,man,TRUE,E,Southampton,yes,TRUE
0,3,male,34,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
0,1,male,47,0,38.5,First,man,TRUE,E,Southampton,no,TRUE
0,2,male,48,0,13,Second,man,TRUE,,Southampton,no,TRUE
0,3,male,,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,38,0,7.05,Third,man,TRUE,,Southampton,no,TRUE
0,2,male,,0,0,Second,man,TRUE,,Southampton,no,TRUE
0,1,male,56,0,26.55,First,man,TRUE,,Southampton,no,TRUE
0,3,male,,0,7.725,Third,man,TRUE,,Queenstown,no,TRUE
1,3,female,0.75,2,19.2583,Third,child,FALSE,,Cherbourg,yes,FALSE
0,3,male,,0,7.25,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,38,0,8.6625,Third,man,TRUE,,Southampton,no,TRUE
1,2,female,33,1,27.75,Second,woman,FALSE,,Southampton,yes,FALSE
1,2,female,23,0,13.7917,Second,woman,FALSE,D,Cherbourg,yes,TRUE
0,3,female,22,0,9.8375,Third,woman,FALSE,,Southampton,no,TRUE
0,1,male,,0,52,First,man,TRUE,A,Southampton,no,TRUE
0,2,male,34,1,21,Second,man,TRUE,,Southampton,no,FALSE
0,3,male,29,1,7.0458,Third,man,TRUE,,Southampton,no,FALSE
0,3,male,22,0,7.5208,Third,man,TRUE,,Southampton,no,TRUE
1,3,female,2,0,12.2875,Third,child,FALSE,,Southampton,yes,FALSE
0,3,male,9,5,46.9,Third,child,FALSE,,Southampton,no,FALSE
0,2,male,,0,0,Second,man,TRUE,,Southampton,no,TRUE
0,3,male,50,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
1,3,female,63,0,9.5875,Third,woman,FALSE,,Southampton,yes,TRUE
1,1,male,25,1,91.0792,First,man,TRUE,B,Cherbourg,yes,FALSE
0,3,female,,3,25.4667,Third,woman,FALSE,,Southampton,no,FALSE
1,1,female,35,1,90,First,woman,FALSE,C,Southampton,yes,FALSE
0,1,male,58,0,29.7,First,man,TRUE,B,Cherbourg,no,TRUE
0,3,male,30,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
1,3,male,9,1,15.9,Third,child,FALSE,,Southampton,yes,FALSE
0,3,male,,1,19.9667,Third,man,TRUE,,Southampton,no,FALSE
0,3,male,21,0,7.25,Third,man,TRUE,,Southampton,no,TRUE
0,1,male,55,0,30.5,First,man,TRUE,C,Southampton,no,TRUE
0,1,male,71,0,49.5042,First,man,TRUE,,Cherbourg,no,TRUE
0,3,male,21,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,,0,14.4583,Third,man,TRUE,,Cherbourg,no,TRUE
1,1,female,54,1,78.2667,First,woman,FALSE,D,Cherbourg,yes,FALSE
0,3,male,,0,15.1,Third,man,TRUE,,Southampton,no,TRUE
0,1,female,25,1,151.55,First,woman,FALSE,C,Southampton,no,FALSE
0,3,male,24,0,7.7958,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,17,0,8.6625,Third,man,TRUE,,Southampton,no,TRUE
0,3,female,21,0,7.75,Third,woman,FALSE,,Queenstown,no,TRUE
0,3,female,,0,7.6292,Third,woman,FALSE,,Queenstown,no,TRUE
0,3,female,37,0,9.5875,Third,woman,FALSE,,Southampton,no,TRUE
1,1,female,16,0,86.5,First,woman,FALSE,B,Southampton,yes,TRUE
0,1,male,18,1,108.9,First,man,TRUE,C,Cherbourg,no,FALSE
1,2,female,33,0,26,Second,woman,FALSE,,Southampton,yes,FALSE
1,1,male,,0,26.55,First,man,TRUE,,Southampton,yes,TRUE
0,3,male,28,0,22.525,Third,man,TRUE,,Southampton,no,TRUE
1,3,male,26,0,56.4958,Third,man,TRUE,,Southampton,yes,TRUE
1,3,male,29,0,7.75,Third,man,TRUE,,Queenstown,yes,TRUE
0,3,male,,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
1,1,male,36,0,26.2875,First,man,TRUE,E,Southampton,yes,TRUE
1,1,female,54,1,59.4,First,woman,FALSE,,Cherbourg,yes,FALSE
0,3,male,24,0,7.4958,Third,man,TRUE,,Southampton,no,TRUE
0,1,male,47,0,34.0208,First,man,TRUE,D,Southampton,no,TRUE
1,2,female,34,0,10.5,Second,woman,FALSE,F,Southampton,yes,TRUE
0,3,male,,0,24.15,Third,man,TRUE,,Queenstown,no,TRUE
1,2,female,36,1,26,Second,woman,FALSE,,Southampton,yes,FALSE
0,3,male,32,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
1,1,female,30,0,93.5,First,woman,FALSE,B,Southampton,yes,TRUE
0,3,male,22,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,,0,7.225,Third,man,TRUE,,Cherbourg,no,TRUE
1,1,female,44,0,57.9792,First,woman,FALSE,B,Cherbourg,yes,FALSE
0,3,male,,0,7.2292,Third,man,TRUE,,Cherbourg,no,TRUE
0,3,male,40.5,0,7.75,Third,man,TRUE,,Queenstown,no,TRUE
1,2,female,50,0,10.5,Second,woman,FALSE,,Southampton,yes,TRUE
0,1,male,,0,221.7792,First,man,TRUE,C,Southampton,no,TRUE
0,3,male,39,0,7.925,Third,man,TRUE,,Southampton,no,TRUE
0,2,male,23,2,11.5,Second,man,TRUE,,Southampton,no,FALSE
1,2,female,2,1,26,Second,child,FALSE,,Southampton,yes,FALSE
0,3,male,,0,7.2292,Third,man,TRUE,,Cherbourg,no,TRUE
0,3,male,17,1,7.2292,Third,man,TRUE,,Cherbourg,no,FALSE
1,3,female,,0,22.3583,Third,woman,FALSE,,Cherbourg,yes,FALSE
0,3,female,30,0,8.6625,Third,woman,FALSE,,Southampton,no,TRUE
1,2,female,7,0,26.25,Second,child,FALSE,,Southampton,yes,FALSE
0,1,male,45,0,26.55,First,man,TRUE,B,Southampton,no,TRUE
1,1,female,30,0,106.425,First,woman,FALSE,,Cherbourg,yes,TRUE
0,3,male,,0,14.5,Third,man,TRUE,,Southampton,no,TRUE
1,1,female,22,0,49.5,First,woman,FALSE,B,Cherbourg,yes,FALSE
1,1,female,36,0,71,First,woman,FALSE,B,Southampton,yes,FALSE
0,3,female,9,4,31.275,Third,child,FALSE,,Southampton,no,FALSE
0,3,female,11,4,31.275,Third,child,FALSE,,Southampton,no,FALSE
1,2,male,32,1,26,Second,man,TRUE,,Southampton,yes,FALSE
0,1,male,50,1,106.425,First,man,TRUE,C,Cherbourg,no,FALSE
0,1,male,64,0,26,First,man,TRUE,,Southampton,no,TRUE
1,2,female,19,1,26,Second,woman,FALSE,,Southampton,yes,FALSE
1,2,male,,0,13.8625,Second,man,TRUE,,Cherbourg,yes,TRUE
0,3,male,33,1,20.525,Third,man,TRUE,,Southampton,no,FALSE
1,2,male,8,1,36.75,Second,child,FALSE,,Southampton,yes,FALSE
1,1,male,17,0,110.8833,First,man,TRUE,C,Cherbourg,yes,FALSE
0,2,male,27,0,26,Second,man,TRUE,,Southampton,no,TRUE
0,3,male,,0,7.8292,Third,man,TRUE,,Queenstown,no,TRUE
1,3,male,22,0,7.225,Third,man,TRUE,,Cherbourg,yes,TRUE
1,3,female,22,0,7.775,Third,woman,FALSE,,Southampton,yes,TRUE
0,1,male,62,0,26.55,First,man,TRUE,,Southampton,no,TRUE
1,1,female,48,1,39.6,First,woman,FALSE,A,Cherbourg,yes,FALSE
0,1,male,,0,227.525,First,man,TRUE,,Cherbourg,no,TRUE
1,1,female,39,1,79.65,First,woman,FALSE,E,Southampton,yes,FALSE
1,3,female,36,1,17.4,Third,woman,FALSE,,Southampton,yes,FALSE
0,3,male,,0,7.75,Third,man,TRUE,,Queenstown,no,TRUE
0,3,male,40,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
0,2,male,28,0,13.5,Second,man,TRUE,,Southampton,no,TRUE
0,3,male,,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
0,3,female,,0,8.05,Third,woman,FALSE,,Southampton,no,TRUE
0,3,male,24,2,24.15,Third,man,TRUE,,Southampton,no,FALSE
0,3,male,19,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
0,3,female,29,0,21.075,Third,woman,FALSE,,Southampton,no,FALSE
0,3,male,,0,7.2292,Third,man,TRUE,,Cherbourg,no,TRUE
1,3,male,32,0,7.8542,Third,man,TRUE,,Southampton,yes,TRUE
1,2,male,62,0,10.5,Second,man,TRUE,,Southampton,yes,TRUE
1,1,female,53,2,51.4792,First,woman,FALSE,C,Southampton,yes,FALSE
1,1,male,36,0,26.3875,First,man,TRUE,E,Southampton,yes,TRUE
1,3,female,,0,7.75,Third,woman,FALSE,,Queenstown,yes,TRUE
0,3,male,16,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,19,0,14.5,Third,man,TRUE,,Southampton,no,TRUE
1,2,female,34,0,13,Second,woman,FALSE,,Southampton,yes,TRUE
1,1,female,39,1,55.9,First,woman,FALSE,E,Southampton,yes,FALSE
0,3,female,,1,14.4583,Third,woman,FALSE,,Cherbourg,no,FALSE
1,3,male,32,0,7.925,Third,man,TRUE,,Southampton,yes,TRUE
1,2,female,25,1,30,Second,woman,FALSE,,Southampton,yes,FALSE
1,1,female,39,1,110.8833,First,woman,FALSE,C,Cherbourg,yes,FALSE
0,2,male,54,0,26,Second,man,TRUE,,Southampton,no,TRUE
0,1,male,36,0,40.125,First,man,TRUE,A,Cherbourg,no,TRUE
0,3,male,,0,8.7125,Third,man,TRUE,,Cherbourg,no,TRUE
1,1,female,18,0,79.65,First,woman,FALSE,E,Southampton,yes,FALSE
0,2,male,47,0,15,Second,man,TRUE,,Southampton,no,TRUE
1,1,male,60,1,79.2,First,man,TRUE,B,Cherbourg,yes,FALSE
0,3,male,22,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,35,0,7.125,Third,man,TRUE,,Southampton,no,TRUE
1,1,female,52,1,78.2667,First,woman,FALSE,D,Cherbourg,yes,FALSE
